"","num","pairdist","target","pairID"
"1","ERR2306232","0.818348754055356","1","202"
"2","ERR2698004","0.818348754055356","0","202"
"3","ERR2314095","1.2332082941826","1","135"
"4","ERR2304040","1.2332082941826","0","135"
"5","ERR2697829","1.31108198809645","1","285"
"6","ERR2697740","1.31108198809645","0","285"
"7","ERR2057223","1.47128007680363","1","25"
"8","ERR2319585","1.47128007680363","0","25"
"9","ERR2696725","1.48195434848618","1","92"
"10","ERR2523943","1.48195434848618","0","92"
"11","ERR2319601","1.69852025168776","1","143"
"12","ERR2032561","1.69852025168776","0","143"
"13","ERR2308806","1.70046907255651","1","102"
"14","ERR2057199","1.70046907255651","0","102"
"15","ERR2309200","1.70725216471621","1","83"
"16","ERR2032174","1.70725216471621","0","83"
"17","ERR2405193","1.82107393875217","1","53"
"18","ERR2523903","1.82107393875217","0","53"
"19","ERR2697633","1.83230412954699","1","145"
"20","ERR2405024","1.83230412954699","0","145"
"21","ERR2314094","1.88131409356565","1","172"
"22","ERR2405036","1.88131409356565","0","172"
"23","ERR2319326","1.93097649471156","1","66"
"24","ERR2523989","1.93097649471156","0","66"
"25","ERR2696445","1.96752179169897","1","88"
"26","ERR1854809","1.96752179169897","0","88"
"27","ERR2308947","1.98349699874532","1","274"
"28","ERR2405377","1.98349699874532","0","274"
"29","ERR2579475","2.02102389915217","1","200"
"30","ERR2405383","2.02102389915217","0","200"
"31","ERR2523938","2.0274264313964","1","95"
"32","ERR2314088","2.0274264313964","0","95"
"33","ERR2032536","2.03903495808146","1","256"
"34","ERR2698029","2.03903495808146","0","256"
"35","ERR2309189","2.04303542904964","1","74"
"36","ERR2524098","2.04303542904964","0","74"
"37","ERR2056855","2.04599369206243","1","139"
"38","ERR2032754","2.04599369206243","0","139"
"39","ERR2318002","2.05295231039096","1","137"
"40","ERR2697780","2.05295231039096","0","137"
"41","ERR2523955","2.05660945010339","1","255"
"42","ERR2091911","2.05660945010339","0","255"
"43","ERR2579804","2.07343249060441","1","227"
"44","ERR2524096","2.07343249060441","0","227"
"45","ERR2696650","2.08014468150207","1","131"
"46","ERR2303954","2.08014468150207","0","131"
"47","ERR2306177","2.08190166244145","1","201"
"48","ERR2319406","2.08190166244145","0","201"
"49","ERR2696717","2.10878397402825","1","50"
"50","ERR2032755","2.10878397402825","0","50"
"51","ERR2404919","2.13634086684572","1","250"
"52","ERR2057221","2.13634086684572","0","250"
"53","ERR2032328","2.213533085538","1","55"
"54","ERR2092428","2.213533085538","0","55"
"55","ERR2056993","2.21598797067527","1","26"
"56","ERR2318161","2.21598797067527","0","26"
"57","ERR2304084","2.22069288486971","1","233"
"58","ERR2032541","2.22069288486971","0","233"
"59","ERR2318207","2.22395424558561","1","57"
"60","ERR2092102","2.22395424558561","0","57"
"61","ERR2308940","2.22873566049608","1","120"
"62","ERR2524189","2.22873566049608","0","120"
"63","ERR2032592","2.25048585555948","1","16"
"64","ERR2308750","2.25048585555948","0","16"
"65","ERR2308930","2.26562492422417","1","162"
"66","ERR2032571","2.26562492422417","0","162"
"67","ERR2697749","2.2676959943147","1","149"
"68","ERR2524124","2.2676959943147","0","149"
"69","ERR1846146","2.27885353490071","1","54"
"70","ERR2091901","2.27885353490071","0","54"
