"","num","pairdist","target","pairID"
"1","ERR2697930","0.741644169283529","1","100"
"2","ERR2056767","0.741644169283529","0","100"
"3","ERR2318002","1.07069890744768","1","137"
"4","ERR2318045","1.07069890744768","0","137"
"5","ERR2696717","1.50117024866338","1","50"
"6","ERR2032529","1.50117024866338","0","50"
"7","ERR2523955","1.56246361792748","1","255"
"8","ERR2696628","1.56246361792748","0","255"
"9","ERR2308806","1.58466694847626","1","102"
"10","ERR2032552","1.58466694847626","0","102"
"11","ERR2696725","1.66895009820052","1","92"
"12","ERR1845992","1.66895009820052","0","92"
"13","ERR2308940","1.67358094155576","1","120"
"14","ERR2092312","1.67358094155576","0","120"
"15","ERR2314095","1.71466024636772","1","135"
"16","ERR2303985","1.71466024636772","0","135"
"17","ERR2318124","1.77104056489802","1","221"
"18","ERR2306125","1.77104056489802","0","221"
"19","ERR2405193","1.82107393875217","1","53"
"20","ERR2523903","1.82107393875217","0","53"
"21","ERR2697656","1.83393600706745","1","117"
"22","ERR2032140","1.83393600706745","0","117"
"23","ERR2032536","1.90086531880148","1","256"
"24","ERR2304049","1.90086531880148","0","256"
"25","ERR1846146","1.90405403489846","1","54"
"26","ERR2696704","1.90405403489846","0","54"
"27","ERR2057092","1.95002044874535","1","67"
"28","ERR2405275","1.95002044874535","0","67"
"29","ERR2405362","1.97413565144744","1","166"
"30","ERR2309395","1.97413565144744","0","166"
"31","ERR2523938","2.0274264313964","1","95"
"32","ERR2314088","2.0274264313964","0","95"
"33","ERR1854688","2.04183515494936","1","59"
"34","ERR2033461","2.04183515494936","0","59"
"35","ERR2056855","2.04599369206243","1","139"
"36","ERR2032754","2.04599369206243","0","139"
"37","ERR2696650","2.08014468150207","1","131"
"38","ERR2303954","2.08014468150207","0","131"
"39","ERR2091975","2.085927598707","1","239"
"40","ERR2697981","2.085927598707","0","239"
"41","ERR2696583","2.09736277845495","1","184"
"42","ERR2697875","2.09736277845495","0","184"
"43","ERR2697576","2.18530602305745","1","94"
"44","ERR1845991","2.18530602305745","0","94"
"45","ERR2697805","2.19798851082991","1","30"
"46","ERR2697971","2.19798851082991","0","30"
"47","ERR2056993","2.25527259561452","1","26"
"48","ERR2405024","2.25527259561452","0","26"
"49","ERR2032825","2.25633484844159","1","84"
"50","ERR2092362","2.25633484844159","0","84"
"51","ERR2697749","2.2676959943147","1","149"
"52","ERR2524124","2.2676959943147","0","149"
"53","ERR2032328","2.29063850827084","1","55"
"54","ERR2319534","2.29063850827084","0","55"
"55","ERR2697020","2.29402641105925","1","61"
"56","ERR2318138","2.29402641105925","0","61"
"57","ERR2308673","2.30131428148464","1","69"
"58","ERR2319531","2.30131428148464","0","69"
"59","ERR2309200","2.3231372380273","1","83"
"60","ERR2697774","2.3231372380273","0","83"
"61","ERR2696694","2.33233060754932","1","65"
"62","ERR2579836","2.33233060754932","0","65"
"63","ERR2032721","2.37763774440884","1","44"
"64","ERR2092299","2.37763774440884","0","44"
"65","ERR2696713","2.38203647669511","1","289"
"66","ERR2091848","2.38203647669511","0","289"
"67","ERR2696716","2.39453885929246","1","204"
"68","ERR2405018","2.39453885929246","0","204"
"69","ERR2696890","2.40330173031012","1","197"
"70","ERR2697668","2.40330173031012","0","197"
"71","ERR2306103","2.40450818231546","1","179"
"72","ERR2032760","2.40450818231546","0","179"
"73","ERR2309189","2.40912419461555","1","74"
"74","ERR2032896","2.40912419461555","0","74"
"75","ERR2314094","2.41540741320228","1","172"
"76","ERR2303840","2.41540741320228","0","172"
"77","ERR2696589","2.4281337354357","1","70"
"78","ERR2306133","2.4281337354357","0","70"
"79","ERR2318202","2.43369588085693","1","40"
"80","ERR2306107","2.43369588085693","0","40"
"81","ERR2306232","2.4476525493021","1","202"
"82","ERR2308603","2.4476525493021","0","202"
"83","ERR2314089","2.45136569342722","1","78"
"84","ERR2314063","2.45136569342722","0","78"
"85","ERR2314098","2.47623327853695","1","62"
"86","ERR2308922","2.47623327853695","0","62"
"87","ERR2405076","2.49321456979309","1","146"
"88","ERR2696580","2.49321456979309","0","146"
"89","ERR2309409","2.49878294394117","1","130"
"90","ERR2579676","2.49878294394117","0","130"
"91","ERR1854670","2.50031614269919","1","33"
"92","ERR2092153","2.50031614269919","0","33"
"93","ERR2032280","2.51485651172324","1","32"
"94","ERR2579969","2.51485651172324","0","32"
"95","ERR2308819","2.52224567295109","1","46"
"96","ERR2308860","2.52224567295109","0","46"
"97","ERR2308930","2.54492803216879","1","162"
"98","ERR2309393","2.54492803216879","0","162"
"99","ERR2032838","2.55371158355641","1","6"
"100","ERR2405381","2.55371158355641","0","6"
"101","ERR2696525","2.55613860479083","1","20"
"102","ERR2696582","2.55613860479083","0","20"
"103","ERR2308944","2.5633867926491","1","60"
"104","ERR2579548","2.5633867926491","0","60"
"105","ERR2319326","2.5942386525654","1","66"
"106","ERR1846034","2.5942386525654","0","66"
"107","ERR2314209","2.61475926639901","1","213"
"108","ERR2319289","2.61475926639901","0","213"
"109","ERR2309326","2.61562157295377","1","141"
"110","ERR2308878","2.61562157295377","0","141"
"111","ERR2032567","2.63920059986023","1","5"
"112","ERR2032555","2.63920059986023","0","5"
"113","ERR1841824","2.64310783069454","1","105"
"114","ERR2304182","2.64310783069454","0","105"
"115","ERR2032837","2.66126230638303","1","151"
"116","ERR2092445","2.66126230638303","0","151"
"117","ERR1846043","2.66557679766293","1","11"
"118","ERR2306169","2.66557679766293","0","11"
"119","ERR2523869","2.67495458840213","1","1"
"120","ERR2057177","2.67495458840213","0","1"
"121","ERR2405136","2.68241499167332","1","56"
"122","ERR2524143","2.68241499167332","0","56"
"123","ERR2318052","2.68683321735857","1","8"
"124","ERR2057052","2.68683321735857","0","8"
"125","ERR2697645","2.69679498053571","1","229"
"126","ERR2092018","2.69679498053571","0","229"
"127","ERR2314136","2.69885736245904","1","194"
"128","ERR2697913","2.69885736245904","0","194"
"129","ERR2696453","2.724365158063","1","126"
"130","ERR2696953","2.724365158063","0","126"
"131","ERR2579655","2.73044178174796","1","192"
"132","ERR2304085","2.73044178174796","0","192"
"133","ERR2304009","2.74822476283929","1","28"
"134","ERR2318139","2.74822476283929","0","28"
"135","ERR2032836","2.7521331670822","1","9"
"136","ERR2579434","2.7521331670822","0","9"
"137","ERR2696739","2.75288143865126","1","96"
"138","ERR2319481","2.75288143865126","0","96"
"139","ERR2696445","2.79791342264791","1","88"
"140","ERR2032465","2.79791342264791","0","88"
"141","ERR2306155","2.82121101221342","1","203"
"142","ERR2091962","2.82121101221342","0","203"
"143","ERR2579522","2.82944577025416","1","97"
"144","ERR2092469","2.82944577025416","0","97"
"145","ERR2697771","2.84016757570061","1","17"
"146","ERR2314156","2.84016757570061","0","17"
"147","ERR2303955","2.86260004280439","1","171"
"148","ERR2092355","2.86260004280439","0","171"
"149","ERR2524116","2.86385367366978","1","19"
"150","ERR2303852","2.86385367366978","0","19"
"151","ERR2696750","2.87800859804835","1","101"
"152","ERR2405262","2.87800859804835","0","101"
"153","ERR2579485","2.90278076229244","1","4"
"154","ERR2696667","2.90278076229244","0","4"
"155","ERR2309320","2.90521382262699","1","99"
"156","ERR2032728","2.90521382262699","0","99"
"157","ERR2306206","2.92406358963843","1","189"
"158","ERR2696612","2.92406358963843","0","189"
"159","ERR2319601","2.92787882472039","1","143"
"160","ERR2696921","2.92787882472039","0","143"
"161","ERR2304102","2.9428748081029","1","37"
"162","ERR2092058","2.9428748081029","0","37"
"163","ERR2405074","2.94458918550263","1","209"
"164","ERR1845890","2.94458918550263","0","209"
"165","ERR2032436","2.971704156039","1","168"
"166","ERR2092311","2.971704156039","0","168"
"167","ERR2032192","2.97885118349841","1","160"
"168","ERR2319342","2.97885118349841","0","160"
"169","ERR1842707","2.98463724287071","1","85"
"170","ERR2696548","2.98463724287071","0","85"
"171","ERR2092003","2.99989293572791","1","112"
"172","ERR2032751","2.99989293572791","0","112"
"173","ERR2318087","3.02218729676148","1","164"
"174","ERR2404941","3.02218729676148","0","164"
"175","ERR2697633","3.03989770923623","1","145"
"176","ERR2056945","3.03989770923623","0","145"
"177","ERR2524123","3.05389880550986","1","212"
"178","ERR2318016","3.05389880550986","0","212"
"179","ERR1842850","3.06339229255899","1","7"
"180","ERR2697716","3.06339229255899","0","7"
"181","ERR1845941","3.06456624854514","1","163"
"182","ERR2313982","3.06456624854514","0","163"
"183","ERR2309339","3.06644780900308","1","43"
"184","ERR2404994","3.06644780900308","0","43"
"185","ERR2308947","3.07914327373106","1","274"
"186","ERR2032568","3.07914327373106","0","274"
"187","ERR2033463","3.08205401753998","1","77"
"188","ERR2579927","3.08205401753998","0","77"
"189","ERR2091978","3.08573213094668","1","72"
"190","ERR2032735","3.08573213094668","0","72"
"191","ERR2314300","3.11492048330044","1","81"
"192","ERR2057212","3.11492048330044","0","81"
"193","ERR2032845","3.12911532616137","1","118"
"194","ERR1842719","3.12911532616137","0","118"
"195","ERR2309364","3.13979275858069","1","115"
"196","ERR2313963","3.13979275858069","0","115"
"197","ERR2032614","3.14771985067094","1","138"
"198","ERR2304180","3.14771985067094","0","138"
"199","ERR2697829","3.15519941222144","1","285"
"200","ERR2697590","3.15519941222144","0","285"
"201","ERR2306217","3.1682725479082","1","41"
"202","ERR2091922","3.1682725479082","0","41"
"203","ERR2696729","3.17152237239457","1","93"
"204","ERR2405405","3.17152237239457","0","93"
"205","ERR2304091","3.19205199713921","1","107"
"206","ERR2308774","3.19205199713921","0","107"
"207","ERR2309323","3.19937835638928","1","13"
"208","ERR2032572","3.19937835638928","0","13"
"209","ERR2308558","3.20756460407919","1","47"
"210","ERR2304154","3.20756460407919","0","47"
"211","ERR2033474","3.22164155022226","1","18"
"212","ERR2580099","3.22164155022226","0","18"
"213","ERR2696531","3.2231966814339","1","148"
"214","ERR2091857","3.2231966814339","0","148"
"215","ERR2306256","3.22718044929584","1","10"
"216","ERR2092347","3.22718044929584","0","10"
"217","ERR2032592","3.22731162763812","1","16"
"218","ERR2579470","3.22731162763812","0","16"
"219","ERR2579804","3.23764153566895","1","227"
"220","ERR2579913","3.23764153566895","0","227"
"221","ERR2697873","3.25578096354386","1","273"
"222","ERR2306211","3.25578096354386","0","273"
