sample_name,pairdist,target,pairID
ERR1072811,3.372775885,1,1
ERR2580097,3.372775885,0,1
ERR1091261,3.774828658,1,2
ERR1389983,3.774828658,0,2
ERR1678326,3.486407903,1,3
ERR2309323,3.486407903,0,3
ERR1842116,3.407864733,1,4
ERR1090149,3.407864733,0,4
ERR1090231,3.794113008,1,6
ERR2032486,3.794113008,0,6
ERR1845171,3.417014632,1,7
ERR1090795,3.417014632,0,7
ERR2092550,3.455033331,1,8
ERR1389881,3.455033331,0,8
ERR1074473,3.431981863,1,9
ERR2304102,3.431981863,0,9
ERR1089706,3.622987907,1,10
ERR2304001,3.622987907,0,10
ERR1089719,3.783606693,1,11
ERR2579660,3.783606693,0,11
ERR1075694,3.804959976,1,12
ERR1250597,3.804959976,0,12
ERR1249644,3.859348467,1,14
ERR1678480,3.859348467,0,14
ERR1089723,3.353863687,1,15
ERR2306177,3.353863687,0,15
ERR1845731,3.406328389,1,16
ERR1389991,3.406328389,0,16
ERR1075106,3.63072874,1,17
ERR2405193,3.63072874,0,17
ERR2092728,3.557715084,1,18
ERR2092204,3.557715084,0,18
ERR1075741,3.461643771,1,19
ERR2318177,3.461643771,0,19
ERR1075275,3.474286174,1,21
ERR2314098,3.474286174,0,21
ERR1075793,3.740508764,1,22
ERR2308866,3.740508764,0,22
ERR1250416,3.701983266,1,23
ERR1843740,3.701983266,0,23
ERR1089756,3.805047457,1,25
ERR1250479,3.805047457,0,25
ERR1075994,3.465658771,1,26
ERR1091428,3.465658771,0,26
ERR2309174,3.813355438,1,27
ERR1091787,3.813355438,0,27
ERR1077347,3.816247209,1,28
ERR2309339,3.816247209,0,28
ERR1845352,3.652136772,1,29
ERR1846043,3.652136772,0,29
ERR2308516,3.474185732,1,30
ERR2579485,3.474185732,0,30
ERR1076835,3.339896208,1,31
ERR2309338,3.339896208,0,31
ERR1089800,3.497142496,1,32
ERR1596984,3.497142496,0,32
ERR1080194,3.2814152,1,33
ERR1091475,3.2814152,0,33
ERR1091282,3.390620021,1,35
ERR1846096,3.390620021,0,35
ERR1249659,3.445670602,1,36
ERR2697563,3.445670602,0,36
ERR1089843,3.519760184,1,37
ERR2696750,3.519760184,0,37
ERR1080286,3.297927904,1,38
ERR1417621,3.297927904,0,38
ERR1845757,3.35757807,1,39
ERR2304091,3.35757807,0,39
ERR1080296,3.554043688,1,40
ERR2697067,3.554043688,0,40
ERR1090820,3.844008147,1,42
ERR1089795,3.844008147,0,42
ERR1089927,3.856909125,1,44
ERR2318085,3.856909125,0,44
ERR1089931,3.732035194,1,45
ERR1089702,3.732035194,0,45
ERR1089937,3.701137111,1,46
ERR2579804,3.701137111,0,46
ERR1315817,3.506413075,1,47
ERR2319898,3.506413075,0,47
ERR1250475,3.355896625,1,48
ERR1250417,3.355896625,0,48
ERR1089964,3.65729783,1,49
ERR1089845,3.65729783,0,49
ERR1089968,3.73778475,1,50
ERR1091263,3.73778475,0,50
ERR1080378,3.34928738,1,51
ERR1250117,3.34928738,0,51
ERR1089995,3.524401302,1,53
ERR2579895,3.524401302,0,53
ERR1090010,3.817157582,1,54
ERR1250112,3.817157582,0,54
ERR1090028,3.610679228,1,55
ERR1458892,3.610679228,0,55
ERR1843442,3.649452446,1,57
ERR2524156,3.649452446,0,57
ERR1845782,3.605196173,1,59
ERR1090657,3.605196173,0,59
ERR1090057,3.604935899,1,61
ERR1075908,3.604935899,0,61
ERR1091305,3.575125342,1,62
ERR2306253,3.575125342,0,62
ERR1090073,3.674762185,1,63
ERR1091334,3.674762185,0,63
ERR1845788,3.360996397,1,64
ERR2308806,3.360996397,0,64
ERR1090090,3.41123252,1,65
ERR2404961,3.41123252,0,65
ERR1090535,3.790300723,1,66
ERR2697702,3.790300723,0,66
ERR1090855,3.469966506,1,67
ERR1089681,3.469966506,0,67
ERR1090098,3.503839039,1,68
ERR2032406,3.503839039,0,68
ERR1315821,3.582580637,1,69
ERR1417544,3.582580637,0,69
ERR1090863,3.571291896,1,70
ERR2032911,3.571291896,0,70
ERR1854666,3.683359277,1,71
ERR1459177,3.683359277,0,71
ERR1090867,3.707742582,1,72
ERR2308673,3.707742582,0,72
ERR1090549,3.704662433,1,74
ERR1075297,3.704662433,0,74
ERR1090872,3.745798751,1,75
ERR2308894,3.745798751,0,75
ERR1090134,3.648713325,1,76
ERR1458747,3.648713325,0,76
ERR2579376,3.892063249,1,78
ERR1089910,3.892063249,0,78
ERR1315842,3.559013188,1,79
ERR1090574,3.559013188,0,79
ERR1090655,3.801304607,1,80
ERR1091317,3.801304607,0,80
ERR1090661,3.738029474,1,81
ERR2308558,3.738029474,0,81
ERR1090971,3.614218725,1,82
ERR1458942,3.614218725,0,82
ERR1090972,3.693808034,1,83
ERR2308769,3.693808034,0,83
ERR1249768,3.543963143,1,85
ERR1089948,3.543963143,0,85
ERR1417414,3.350916067,1,86
ERR1597037,3.350916067,0,86
ERR1389647,3.497413933,1,87
ERR2056993,3.497413933,0,87
ERR1389648,3.383821312,1,88
ERR1843752,3.383821312,0,88
ERR2056783,3.377838338,1,89
ERR1091172,3.377838338,0,89
ERR1091379,3.863170482,1,90
ERR2306233,3.863170482,0,90
ERR1091018,3.633495799,1,91
ERR2306232,3.633495799,0,91
ERR1842140,3.277720631,1,92
ERR1843715,3.277720631,0,92
ERR1458760,3.423346302,1,94
ERR1846146,3.423346302,0,94
ERR1842144,3.307768275,1,95
ERR1090064,3.307768275,0,95
ERR1091089,3.511072152,1,96
ERR1842466,3.511072152,0,96
ERR1091112,3.334782096,1,98
ERR2319326,3.334782096,0,98
ERR1091113,3.741819984,1,99
ERR2308651,3.741819984,0,99
ERR1091118,3.894516554,1,100
ERR2303864,3.894516554,0,100
ERR1091466,3.458086361,1,101
ERR1842378,3.458086361,0,101
ERR1250540,3.451520449,1,102
ERR2306206,3.451520449,0,102
ERR1091481,3.835154665,1,103
ERR2318052,3.835154665,0,103
ERR1091483,3.642565479,1,104
ERR2696506,3.642565479,0,104
ERR1091488,3.679561732,1,106
ERR2056864,3.679561732,0,106
ERR1091510,3.624451722,1,107
ERR2523885,3.624451722,0,107
ERR1091549,3.356482544,1,108
ERR1842340,3.356482544,0,108
ERR1091555,3.61163807,1,109
ERR2314089,3.61163807,0,109
ERR1091570,3.541699243,1,110
ERR1250451,3.541699243,0,110
ERR1091573,3.299829338,1,111
ERR2032727,3.299829338,0,111
ERR1091592,3.798858685,1,113
ERR1091152,3.798858685,0,113
ERR1091593,3.47873192,1,114
ERR1842326,3.47873192,0,114
ERR1091596,3.697475628,1,116
ERR2697930,3.697475628,0,116
ERR1091617,3.408303339,1,117
ERR1597234,3.408303339,0,117
ERR1091637,3.737987756,1,118
ERR2318124,3.737987756,0,118
ERR1842156,3.649197832,1,119
ERR1250566,3.649197832,0,119
ERR1249893,3.35344637,1,121
ERR2404978,3.35344637,0,121
ERR1091664,3.702273908,1,122
ERR1250484,3.702273908,0,122
ERR1091680,3.541153438,1,123
ERR1090724,3.541153438,0,123
ERR1091681,3.545196179,1,124
ERR1250008,3.545196179,0,124
ERR1091683,3.50916241,1,125
ERR1249794,3.50916241,0,125
ERR1249908,3.67495574,1,126
ERR2696650,3.67495574,0,126
ERR1091725,3.664499947,1,127
ERR2308827,3.664499947,0,127
ERR2056789,3.515619986,1,130
ERR2309332,3.515619986,0,130
ERR1091741,3.699505605,1,131
ERR2697020,3.699505605,0,131
ERR1091745,3.592711423,1,132
ERR1249798,3.592711423,0,132
ERR1389682,3.531764255,1,135
ERR2306182,3.531764255,0,135
ERR1091778,3.494942736,1,136
ERR2032587,3.494942736,0,136
ERR1458793,3.296188126,1,137
ERR1090361,3.296188126,0,137
ERR1249932,3.302206635,1,138
ERR1249931,3.302206635,0,138
ERR1389701,3.407473872,1,139
ERR1389767,3.407473872,0,139
ERR1417481,3.65354204,1,140
ERR1458835,3.65354204,0,140
ERR1315971,3.702944419,1,141
ERR2524118,3.702944419,0,141
ERR1417496,3.60711636,1,142
ERR2091978,3.60711636,0,142
ERR1417498,3.393594028,1,143
